"Id";"Designator";"Behuizing";"Hoeveelheid";"Orientatie";"Leverancier en ref";
1;"D5,D4";"SOT95P230X110-3N";2;"PESD2CANFD24V-TR";;;
2;"Q5";"SOT96P240X110-3N";1;"DMP4065SQ-7";;;
3;"Q3,Q4,Q2,Q1";"SOT95P237X112-3N";4;"IRLML0060TRPBF";;;
4;"L6,L5";"ACT45B1012PTL003";2;"ACT45B-101-2P-TL003";;;
5;"L9,L7,L8";"INDPM4442X200N";3;"22 uH";;;
6;"F2,F3";"Fuse_1206_3216Metric";2;"500 mA";;;
7;"F1";"FUSC7451X125N";1;"2 A";;;
8;"D6,D3";"DIOM5436X261N";2;"D_TVS";;;
9;"U7,U6,U5,U4,U3";"VOM617A8X001T";5;"VOM617A-4T";;;
10;"S2";"PTS647SK38SMTR2LFS";1;"PTS647SM38SMTR2LFS (erase)";;;
11;"S1";"PTS647SK38SMTR2LFS";1;"PTS647SM38SMTR2LFS";;;
12;"K1";"V23086C1001A403EVBLBOX";1;"V23086C1001A403-EV-BLBOX";;;
13;"C44";"CAPAE1040X1050N";1;"220 uF";;;
14;"PS3";"TR2024S3V3";1;"TR2024S3V3";;;
15;"J2";"5810132011_CHadeMO_v2";1;"5810132011";;;
16;"J4";"JST_B2B-PH-K-S(LF)(SN)";1;"B2B-PH-K-S(LF)(SN)";;;
17;"R13,R12,R10,R11";"R_1206_3216Metric";4;"60 Ohm";;;
18;"JP2,JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"SolderJumper_2_Open";;;
19;"C35,C34";"C_0603_1608Metric";2;"47 nF";;;
20;"U2";"QFP50P2200X2200X145-144N";1;"ATSAM3X8EA-AU";;;
21;"R22,R21,R28,R27,R19,R9,R24,R23,R18,R17";"R_0402_1005Metric";10;"10 kOhm";;;
22;"R26,R25,R14,R20,R15";"R_0805_2012Metric";5;"1 kOhm";;;
23;"IC2,IC1";"SOP254P1040X485-8N";2;"ISO1050DUBR";;;
24;"R2,R16";"R_0805_2012Metric";2;"470 Ohm";;;
25;"C37,C36,C33,C32,C29,C26,C24,C6,C1,C46,C47,C45";"C_1206_3216Metric";12;"10 uF";;;
26;"R8";"R_0805_2012Metric";1;"200 Ohm";;;
27;"D7,D1,D2";"D_SOD-123";3;"1N4148W";;;
28;"J3";"SHDR2W125P550X420_2X1_540X960X1310P";1;"39-28-8020";;;
29;"C40,C41,C38,C39";"C_0805_2012Metric";4;"330 pF";;;
30;"C42,C23,C43,C17,C18,C11,C25,C21,C22,C19,C20,C16,C14,C15,C9,C10,C7,C8,C12,C27,C31,C30,C28";"C_1206_3216Metric";23;"100 nF";;;
31;"Y2";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"Crystal 32.768kHz";;;
32;"U1";"SOIC127P600X175-8N";1;"M24M02-DRMN6TP";;;
33;"HLOGO1";"EVcreate_2500";1;"MountingHole";;;
34;"H1,H3,H2";"JLCPCB-ToolingHole";3;"MountingHole";;;
35;"C13,C5,C4,C3,C2";"C_0603_1608Metric";5;"22 pF";;;
36;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"CRYSTAL 12MHZ ";;;
37;"R5,R4";"R_0805_2012Metric";2;"4.7 kOhm";;;
38;"R7,R6";"R_1206_3216Metric";2;"39 Ohm";;;
39;"R3";"R_0603_1608Metric";1;"100 kOhm";;;
40;"R1";"R_0805_2012Metric";1;"6.8 kOhm";;;
41;"PS1,PS2";"ROE3305S";2;"ROE-3.305S";;;
42;"LED1";"LED_0603_1608Metric";1;"LED";;;
43;"L3,L2,L4,L1";"L_0603_1608Metric";4;"Imp. 30 Ohm";;;
44;"J1";"UJ2BV1TH";1;"UJ2-BV-1-TH";;;
